French,English
partie,part
histoire,history
police,police
aide,help
demande,request
mois,month
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
bébé,baby
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
voici,here is
pourrais,could
affaire,case
donner,give
type,type
train,train
corps,body
yeux,eyes
dont,whose
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
bureau,office
